callsign,frequency,city,state,lat,lon,facility_id,nfl,format,slogan,erp,market,population,band
WBEC,1420,PITTSFIELD,MA,42.44444444444444,73.2786111111111,2714,Patriots,Classic Hits,WHOOPIE (WUPI),1.0,,,AM
WBEC,1420,PITTSFIELD,MA,42.44444444444444,73.2786111111111,2714,Patriots,Classic Hits,WHOOPIE (WUPI),1.0,,,AM
WBSM,1420,NEW BEDFORD,MA,41.650555555555556,70.91611111111112,10452,Patriots,News/Talk,NEWS TALK,5.0,Providence-Warwick-Pawtucket,1469100.0,AM
WBSM,1420,NEW BEDFORD,MA,41.650555555555556,70.91611111111112,10452,Patriots,News/Talk,NEWS TALK,1.0,Providence-Warwick-Pawtucket,1469100.0,AM
WBZ,1030,BOSTON,MA,42.278888888888886,70.8761111111111,25444,Patriots,Contemporary Christian,WBZ NewsRadio 1030,50.0,Boston,4463500.0,AM
WDEV,550,WATERBURY,VT,44.35477777777778,72.7515,54866,Patriots,News/Talk,WDEV AM 550 & FM 96.1,1.0,Montpelier-Barre-St. Johnsbury,110200.0,AM
WDEV,550,WATERBURY,VT,44.35477777777778,72.7515,54866,Patriots,News/Talk,WDEV AM 550 & FM 96.1,5.0,Montpelier-Barre-St. Johnsbury,110200.0,AM
WGCH,1490,GREENWICH,CT,41.026944444444446,73.63305555555554,65674,Patriots,News/Talk,News Talk AM 1490 WGCH,1.0,,,AM
WINY,1350,PUTNAM,CT,41.90277777777778,71.89527777777778,24112,Patriots,Adult Contemporary,WINY 1350 AM,0.079,,,AM
WINY,1350,PUTNAM,CT,41.90277777777778,71.89527777777778,24112,Patriots,Adult Contemporary,WINY 1350 AM,5.0,,,AM
WMRC,1490,MILFORD,MA,42.13666666666666,71.51388888888889,21584,Patriots,Adult Contemporary,MY FM TODAY,1.0,Boston,4463500.0,AM
WNAW,1230,NORTH ADAMS,MA,42.68416666666666,73.10638888888889,4823,Patriots,Country,NEW COUNTRY 94.7,1.0,,,AM
WPKZ,1280,FITCHBURG,MA,42.59444444444445,71.83666666666666,71434,Patriots,Sports,K-ZONE 105.3 FM,1.0,Boston,4463500.0,AM
WPKZ,1280,FITCHBURG,MA,42.59444444444445,71.83666666666666,71434,Patriots,Sports,K-ZONE 105.3 FM,5.0,Boston,4463500.0,AM
WPRO,630,PROVIDENCE,RI,41.77444444444444,71.32305555555556,64843,Patriots,News/Talk,NEWSTALK RADIO 630 & 99.7,5.0,Providence-Warwick-Pawtucket,1469100.0,AM
WPRO,630,PROVIDENCE,RI,41.77444444444444,71.32305555555556,64843,Patriots,News/Talk,NEWSTALK RADIO 630 & 99.7,5.0,Providence-Warwick-Pawtucket,1469100.0,AM
WPRV,790,PROVIDENCE,RI,41.83416666666667,71.36555555555555,64840,Patriots,Sports,,5.0,Providence-Warwick-Pawtucket,1469100.0,AM
WPRV,790,PROVIDENCE,RI,41.83416666666667,71.36555555555555,64840,Patriots,Sports,,5.0,Providence-Warwick-Pawtucket,1469100.0,AM
WSAR,1480,FALL RIVER,MA,41.723888888888894,71.18916666666667,6879,Patriots,Sports,THE LEGENDARY WSAR 1480,5.0,Providence-Warwick-Pawtucket,1469100.0,AM
WTAG,580,WORCESTER,MA,42.33694444444445,71.82083333333333,35230,Patriots,News/Talk,NewsRadio 580/94.9 WTAG,5.0,Boston,4463500.0,AM
WTAG,580,WORCESTER,MA,42.33694444444445,71.82083333333333,35230,Patriots,News/Talk,NewsRadio 580/94.9 WTAG,5.0,Boston,4463500.0,AM
WTIC,1080,HARTFORD,CT,41.77761111111111,72.80483333333333,66464,Patriots,News/Talk,WTIC NewsTalk 1080,50.0,,,AM
WTIC,1080,HARTFORD,CT,41.77761111111111,72.80483333333333,66464,Patriots,News/Talk,WTIC NewsTalk 1080,50.0,,,AM
WTSV,1230,CLAREMONT,NH,43.37083333333334,72.32833333333333,17795,Patriots,Sports,94 WEEI,1.0,Lebanon-Hanover-White River Junction,162400.0,AM
W232DN,94.3,CLAREMONT,NH,43.39588888888889,72.29397222222222,201650,Patriots,Sports,94 WEEI,0.015,Lebanon-Hanover-White River Junction,"162,400",FM
W233CC,94.5,WHITE RIVER JUNCTION,VT,43.65463888888889,72.29441666666666,56990,Patriots,Sports,94 WEEI,0.053,Lebanon-Hanover-White River Junction,"162,400",FM
W234DD,94.7,NORTH ADAMS,MA,42.698388888888886,73.06452777777777,201077,Patriots,Country,NEW COUNTRY 94.7,0.25,,,FM
W235AV,94.9,TATNUCK,MA,42.309527777777774,71.90313888888889,138657,Patriots,News/Talk,,0.23,Worcester,"466,600",FM
W288DL,105.5,STAMFORD,CT,41.11516666666667,73.43427777777778,24109,Patriots,Tropical,VIVA RADIO,0.01,,,FM
W240EB,95.9,FALL RIVER,MA,41.72427777777778,71.18866666666668,202219,Patriots,Talk/Sports,THE LEGENDARY WSAR 1480,0.25,Providence-Warwick-Pawtucket,"1,469,100",FM
W243AT,96.5,BARRE,VT,44.17838888888889,72.48841666666667,139875,Patriots,News/Talk/Sports,WDEV AM 550 & FM 96.1,0.099,Montpelier-Barre-Saint Johnsbury,"110,200",FM
W246DT,97.1,COLCHESTER,VT,44.50636111111111,73.1498888888889,202406,Patriots,Sports,THE GAME 97.1-105.9-960,0.09,Burlington-Plattsburgh,"344,900",FM
W246DN,97.1,PUTNAM,CT,41.902611111111106,71.89508333333335,200386,Patriots,Adult Contemporary,WINY 1350 AM,0.25,,,FM
