callsign,frequency,city,state,lat,lon,facility_id,nfl,format,slogan,erp,market,population,band
KAPS,660,MOUNT VERNON,WA,48.43844444444444,122.34544444444444,69678,Seahawks,Country,KEEP YOUR KAPS ON,1.0,,,AM
KAPS,660,MOUNT VERNON,WA,48.43844444444444,122.34544444444444,69678,Seahawks,Country,KEEP YOUR KAPS ON,10.0,,,AM
KBYR,700,ANCHORAGE,AK,61.206944444444446,149.92222222222222,49612,Seahawks,Talk,"ALASKA TALKS HERE, 700 AM",10.0,,,AM
KBOI,670,BOISE,ID,43.428888888888885,116.3286111111111,51211,Seahawks,,,50.0,Boise,646100.0,AM
KBOI,670,BOISE,ID,43.428888888888885,116.3286111111111,51211,Seahawks,,,50.0,Boise,646100.0,AM
KBSN,1470,MOSES LAKE,WA,47.10444444444445,119.29222222222222,35597,Seahawks,Country,1470 KBSN REAL COUNTRY,5.0,,,AM
KBSN,1470,MOSES LAKE,WA,47.10444444444445,119.29222222222222,35597,Seahawks,Country,1470 KBSN REAL COUNTRY,1.0,,,AM
KCAP,950,HELENA,MT,46.674388888888885,112.01888888888888,8669,Seahawks,News/Talk,NEWSRADIO 95.9/950,5.0,,,AM
KCAP,950,HELENA,MT,46.674388888888885,112.01888888888888,8669,Seahawks,News/Talk,NEWSRADIO 95.9/950,5.0,,,AM
KCLK,1430,ASOTIN,WA,46.31638888888889,117.03999999999999,11722,Seahawks,Sports,SPORTS FAN 1430,5.0,,,AM
KCLK,1430,ASOTIN,WA,46.31638888888889,117.03999999999999,11722,Seahawks,Sports,SPORTS FAN 1430,1.0,,,AM
KCUP,1230,TOLEDO,OR,44.630944444444445,123.94566666666667,645,Seahawks,Sports,1230 ESPN Radio,1.0,,,AM
KCUP,1230,TOLEDO,OR,44.630944444444445,123.94566666666667,645,Seahawks,Sports,1230 ESPN Radio,1.0,,,AM
KEDO,1270,LONGVIEW,WA,46.18288888888889,122.95927777777779,2814,Seahawks,Talk,KEDO 99.9 FM & 1270 AM,5.0,,,AM
KEDO,1270,LONGVIEW,WA,46.18288888888889,122.95927777777779,2814,Seahawks,Talk,KEDO 99.9 FM & 1270 AM,0.083,,,AM
KGAL,1580,LEBANON,OR,44.57344444444445,122.91925,18039,Seahawks,Talk,,5.0,,,AM
KGAL,1580,LEBANON,OR,44.57344444444445,122.91925,18039,Seahawks,Talk,,1.0,,,AM
KGRZ,1450,MISSOULA,MT,46.87741666666667,114.04427777777778,63879,Seahawks,Sports,FOX SPORTS RADIO 1450 & 92.7,1.0,,,AM
